Key Date;Legal Entity;Business Portfolio;Cohort;OCT;GLOB;Portfolio Type;Coverage Currency;Portfolio Category;Cost/Rev Element Target;Cost/Rev Element Calculation Base;Factor Actuals;Factor Estimates
20211231;001;51;2021;1;L41100;D;CHF;1;Z201;Z200;100,00;100,00
20211231;001;51;2021;1;L41100;D;CHF;1;Z211;Z210;100,00;100,00
20211231;001;51;2021;1;L41100;D;CHF;1;Z221;Z220;100,00;100,00
20211231;001;51;2021;1;L41100;D;CHF;1;Z272;Z270;100,00;100,00
20211231;001;51;2021;1;L41100;D;CHF;1;Z202;Z200;0,00;0,00
20211231;001;51;2021;1;L41100;D;CHF;1;Z212;Z210;0,00;0,00
20211231;001;51;2021;1;L41100;D;CHF;1;Z222;Z220;0,00;0,00
20211231;001;51;2021;1;L41100;D;CHF;1;Z231;Z230;0,00;0,00
20211231;001;51;2021;1;L41100;D;CHF;1;Z232;Z230;100,00;100,00
20211231;001;51;2021;1;L41100;D;CHF;1;Z271;Z270;0,00;0,00
20211231;001;25;2020;1;L21100;D;CHF;1;Z201;Z200;0,00;0,00
20211231;001;25;2019;1;L21100;D;CHF;1;Z201;Z200;0,00;0,00
20211231;001;25;2020;1;L21100;D;CHF;1;Z202;Z200;100,00;100,00
20211231;001;25;2019;1;L21100;D;CHF;1;Z202;Z200;100,00;100,00
20211231;001;25;2020;1;L21100;D;CHF;1;Z211;Z210;100,00;100,00
20211231;001;25;2019;1;L21100;D;CHF;1;Z211;Z210;100,00;100,00
20211231;001;25;2020;1;L21100;D;CHF;1;Z212;Z210;0,00;0,00
20211231;001;25;2019;1;L21100;D;CHF;1;Z212;Z210;0,00;0,00
20211231;001;25;2020;1;L21100;D;CHF;1;Z231;Z230;0,00;0,00
20211231;001;25;2019;1;L21100;D;CHF;1;Z231;Z230;0,00;0,00
20211231;001;25;2020;1;L21100;D;CHF;1;Z232;Z230;100,00;100,00
20211231;001;25;2019;1;L21100;D;CHF;1;Z232;Z230;100,00;100,00
20211231;001;25;2020;1;L21100;D;CHF;1;Z271;Z270;100,00;100,00
20211231;001;25;2019;1;L21100;D;CHF;1;Z271;Z270;100,00;100,00
20211231;001;25;2020;1;L21100;D;CHF;1;Z272;Z270;0,00;0,00
20211231;001;25;2019;1;L21100;D;CHF;1;Z272;Z270;0,00;0,00
20211231;001;25;2020;1;L21100;D;CHF;1;Z221;Z220;0,00;0,00
20211231;001;25;2019;1;L21100;D;CHF;1;Z221;Z220;0,00;0,00
20211231;001;25;2020;1;L21100;D;CHF;1;Z222;Z220;100,00;100,00
20211231;001;25;2019;1;L21100;D;CHF;1;Z222;Z220;100,00;100,00
20211231;001;25;2020;1;L21200;D;CHF;1;Z201;Z200;0,00;0,00
20211231;001;25;2019;1;L21200;D;CHF;1;Z201;Z200;0,00;0,00
20211231;001;25;2020;1;L21200;D;CHF;1;Z202;Z200;100,00;100,00
20211231;001;25;2019;1;L21200;D;CHF;1;Z202;Z200;100,00;100,00
