Key Date;Legal Entity;Business Portfolio;Cohort;Factor Actuals;Factor Estimates
20211231;001;21;0000;L41100;100,00;100,00
20211231;001;21;0000;L41100;100,00;100,00
20211231;001;21;0000;L41100;74,03;74,03
20211231;001;21;0000;L41100;25,97;25,97
20211231;001;21;0000;L41100;0,00;0,00
20211231;001;21;0000;L41100;0,00;0,00
20211231;001;21;0000;L41100;100,00;100,00
20211231;001;21;0000;L41100;0,00;0,00
20211231;001;21;0000;L41100;35,90;35,90
20211231;001;21;0000;L41100;64,10;64,10
20211231;001;21;0000;L41100;100,00;100,00
20211231;001;21;0000;L41100;100,00;100,00
20211231;001;21;0000;L41100;100,00;100,00
20211231;001;21;0000;L41100;35,90;35,90
20211231;001;21;0000;L41100;64,10;64,10
20211231;001;21;0000;L41100;74,03;74,03
20211231;001;21;0000;L41100;25,97;25,97
20211231;001;21;0000;L41100;0,00;0,00
20211231;001;21;0000;L41100;0,00;0,00
20211231;001;21;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;39,23;39,23
20211231;001;31;0000;L41100;60,77;60,77
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;39,23;39,23
20211231;001;31;0000;L41100;60,77;60,77
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;39,23;39,23
20211231;001;31;0000;L41100;60,77;60,77
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;39,23;39,23
20211231;001;31;0000;L41100;60,77;60,77
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;39,23;39,23
20211231;001;31;0000;L41100;60,77;60,77
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;0,00;0,00
20211231;001;31;0000;L41100;100,00;100,00
20211231;001;31;0000;L41100;0,00;0,00
